Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,12421.309570,12427.309570,12390.299805,12390.780273,12390.780273,3006860000
2017-11-28,12412.150391,12523.639648,12409.620117,12520.230469,12520.230469,3488420000
2017-11-29,12529.549805,12579.799805,12529.549805,12561.320313,12561.320313,4078280000
2017-11-30,12596.349609,12673.700195,12584.940430,12627.799805,12627.799805,4938490000
2017-12-01,12636.730469,12649.280273,12463.830078,12614.559570,12614.559570,3942320000
2017-12-04,12685.780273,12724.500000,12632.879883,12634.889648,12634.889648,4023150000
2017-12-05,12635.719727,12640.379883,12559.490234,12567.160156,12567.160156,3539040000
2017-12-06,12550.169922,12565.599609,12524.429688,12532.429688,12532.429688,3229000000
2017-12-07,12517.669922,12581.429688,12512.030273,12568.980469,12568.980469,3292400000
2017-12-08,12605.000000,12643.120117,12587.610352,12643.059570,12643.059570,3106150000
2017-12-11,12653.099609,12669.290039,12651.150391,12668.219727,12668.219727,3091950000
2017-12-12,12680.700195,12717.080078,12674.889648,12697.780273,12697.780273,3555680000
2017-12-13,12709.059570,12739.799805,12699.480469,12699.480469,12699.480469,3542370000
2017-12-14,12706.780273,12713.820313,12629.070313,12629.070313,12629.070313,3430030000
2017-12-15,12650.080078,12723.589844,12650.080078,12699.679688,12699.679688,5723920000
2017-12-18,12760.530273,12812.110352,12760.530273,12785.820313,12785.820313,3724660000
2017-12-19,12803.179688,12807.129883,12747.259766,12747.540039,12747.540039,3368590000
2017-12-20,12782.559570,12791.660156,12741.870117,12747.549805,12747.549805,3241030000
2017-12-21,12771.209961,12826.030273,12770.860352,12800.209961,12800.209961,3273390000
2017-12-22,12803.980469,12807.500000,12773.820313,12797.440430,12797.440430,2399830000
2017-12-26,12794.129883,12819.570313,12794.129883,12808.900391,12808.900391,1968780000
2017-12-27,12808.900391,12834.549805,12808.360352,12821.990234,12821.990234,2202080000
2017-12-28,12839.540039,12853.919922,12823.559570,12853.089844,12853.089844,2153330000
2017-12-29,12878.349609,12886.110352,12808.820313,12808.839844,12808.839844,2443490000
2018-01-02,12860.929688,12902.719727,12842.269531,12902.719727,12902.719727,3357250000
2018-01-03,12910.629883,12963.389648,12906.990234,12957.280273,12957.280273,3538660000
2018-01-04,12999.530273,13045.160156,12999.530273,13028.459961,13028.459961,3695260000
2018-01-05,13066.370117,13104.519531,13039.080078,13103.230469,13103.230469,3236620000
2018-01-08,13096.650391,13117.240234,13065.240234,13114.349609,13114.349609,3242650000
2018-01-09,13123.830078,13156.879883,13110.900391,13120.839844,13120.839844,3453480000
2018-01-10,13108.230469,13131.110352,13070.839844,13106.599609,13106.599609,3576350000
